00117,康,강,편할 강,,불용문자,11,11,13,목토,목,분파무 성(姓)씨 사용,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00118,剛,강,굳셀 강,,,10,10,14,목토,금,횡파 성(姓)씨 사용,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00119,鋼,강,강철 강,,,16,16,19,목토,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00120,鎠,강,굳셀 강,,,18,18,19,목토,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00121,綱,강,벼리 강,,,14,14,19,목토,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00122,杠,강,외나무다리 강,,,7,7,7,목토,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00123,堈,강,언덕 강,,,11,11,14,목토,토,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00124,岡,강,산등성이 강,,,8,8,11,금화,토,횡파 성(姓)씨 사용,수-ㅁㅂㅍ 토-ㅇㅎ 
00125,崗,강,산등성이 강,,,11,11,15,목토,토,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00126,姜,강,생강 강,,,9,9,10,목토,토,종파 성(姓)씨 사용,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00127,橿,강,감탕나무 강,,,17,17,19,목토,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00128,彊,강,강할 강,,,16,16,22,목토,금,횡파 성(姓)씨 사용,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00129,慷,강,강개할 강,,좋지않은 의미 문자,15,14,16,목토,화,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00130,畺,강,지경 강,,,13,13,15,목토,토,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
00131,疆,강,지경 강,,,19,19,25,목토,토,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ 
