00077,乫,갈,땅이름 갈,땅 이름 음역자,,6,6,12,목화,목,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,乙(새을)   twist  bird ,1,1,4,목
00078,喝,갈,꾸짖을 갈,꾸짖다 큰소리 ,좋지않은 의미 문자,12,12,17,목화,수,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,口(입구변)   mouth ,3,3,4,수
00079,曷,갈,어찌 갈,어찌 언제 누가 전갈,,9,9,13,목화,화,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,曰(가로왈)   say  speak ,4,4,5,화
00080,碣,갈,비석 갈,비석 문체 이름(비문의 한 체) 우뚝 솟다 우뚝 솟은 돌 ,좋지않은 의미 문자,14,14,19,목화,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,石(돌석)   rock  stone ,5,5,6,금
00081,竭,갈,다할 갈,다하다 없어지다 끝나다 엉기다 막히다,,14,14,18,목화,토,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,立(설립)   stand  establish ,5,5,5,금
00082,褐,갈,갈색 갈,갈색 베옷 굵은 베 털옷 다색 천한 사람,,15,14,19,목화,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,衤(옷의 변)   clothes 원문자:衣  ,6,5,6,목
00083,蝎,갈,전갈 갈,나무굼벵이) 수궁(파충류) 전갈 ,좋지않은 의미 문자,15,15,20,목화,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,虫(벌레훼)   bug  insect ,6,6,7,수
00084,鞨,갈,말갈 갈,말갈 말갈에서 나는 보석,,18,18,23,목화,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,革(가죽혁)   leather ,9,9,10,금
00085,甘,감,달 감,달다 맛나다 달콤하다 달게 여기다,,5,5,5,목수,토,분파무 성(姓)씨 사용,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,甘(달감)   sweet ,5,5,5,토
00086,感,감,감동할 감,느끼다 감동하다(시키다) 감응하다 깨닫다,,13,13,17,목수,화,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,心(마음심)   heart  mind ,4,4,6,화
00087,敢,감,구태여 감,감히 함부로 굳세다 감히 결단성이 있다,,12,12,12,목수,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,攵(둥글월문)   beat  knock 원문자:攴  ,4,4,4,금
00088,監,감,볼 감,보다 살피다 감옥 비추어보다 거울삼다,,14,14,17,목수,금,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,皿(그릇명)   dish  vessel ,5,5,6,토
00089,鑑,감,거울 감,거울 보다 거울삼다,,22,22,25,목수,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,金(쇠금)  ,8,8,8,금
00090,鑒,감,거울 감,거울 (鑑자와 同字),,22,22,25,목수,금,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,金(쇠금)  ,8,8,8,금
00091,勘,감,마감할 감,헤아리다 조사하다 따져 묻다 죄인을 힐문하다,,11,11,15,목수,토,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,力(힘력변)   power  strength ,2,2,4,토
00092,減,감,감할 감,덜다 수량을 적게 하다 가볍게 하다 줄다,,13,12,14,목수,수,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,氵(물수)   water 원문자:水  ,4,3,3,수
00093,堪,감,견딜 감,견디다 맡다,,12,12,14,목수,토,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,土(흙토)   earth  soil ,3,3,3,토
00094,瞰,감,굽어볼 감,굽어보다 내려다보다 멀리 바라보다 엿보다,,17,17,18,목수,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,目(눈목)   eye ,5,5,6,목
00095,坎,감,구덩이 감,구덩이 험하다 치는 소리 64괘의 하나 고생하다 ,좋지않은 의미 문자,7,7,8,목수,토,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,土(흙토)   earth  soil ,3,3,3,토
00096,嵌,감,산골짜기 감,산골짜기 굴 새겨 넣다 끼워 넣다,,12,12,14,목수,토,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,山(뫼산)   mountain ,3,3,4,토
00097,憾,감,섭섭할 감,한하다 (원통히 여기다) 섭섭하다 원한 ,좋지않은 의미 문자,17,16,20,목수,화,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,忄(심방변)   heart  mind 원문자:心  ,4,3,3,화
00098,戡,감,이길 감,이기다 평정하다 치다 죽이다,,13,13,16,목수,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,戈(창과)   spear  lance ,4,4,5,금
00099,柑,감,귤 감,감자나무 홍귤나무,,9,9,9,목수,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,木(나무목)   tree  wood ,4,4,4,목
00100,橄,감,감람나무 감,감람나무,,16,16,16,목수,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,木(나무목)   tree  wood ,4,4,4,목
00101,疳,감,감질(질병의 종류) 감,감병 음식창 ,좋지않은 의미 문자,10,10,10,목수,수,분파무 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,疒(병들어기댈역)   sick ,5,5,5,수
00102,紺,감,감색 감,감색,,11,11,13,목수,목,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,糸(실사)   silk  thread ,6,6,9,목
00103,邯,감,땅이름 감,땅이름 강이름,,12,8,10,목수,토,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,우阝(우부방변)   town 원문자:邑  ,7,3,5,토
00104,龕,감,감실 감,감실 절의 탑,,22,22,29,목수,토,종파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,龍(용룡)   dragon ,16,16,22,토
00105,玪,감,옥 이름 감,옥 이름 아름다운 옥 옥돌,,9,8,9,목수,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,王(구슬옥변)   gem 원문자:玉  ,5,4,4,금
00106,甲,갑,갑옷 갑,첫째 천간 첫째(가다) 시작하다 껍질 껍데기 갑옷 손톱 등 아무 ,불용문자,5,5,6,목수,목,분파무 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,田(밭전)   field ,5,5,6,토
00107,鉀,갑,갑옷 갑,갑옷,,13,13,14,목수,금,횡파 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,金(쇠금)  ,8,8,8,금
00108,匣,갑,갑(작은상자) 갑,갑(작은 상자) 우리(마굿간),,7,7,9,목수,목,분파무 ,화-ㄴㄷㄹㅌ 수-ㅁㅂㅍ ,匚(튼입구몸)   basket ,2,2,3,목
